Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,Totlen Fwd Pkts,Totlen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Sive Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,
67.252.131.62-192.168.1.101-55645-59656-17,192.168.1.101,59656,67.252.131.62,55645,17,2014-08-08 01:02:25,7077625.0,1,1,52.0,52.0,52,52,52.0,0,52,52,52.0,0,14.694194733402801,0.2825806679500539,7077625.0,0,7077625.0,7077625.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0.14129033397502694,0.14129033397502694,52,52,52.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,78.0,52.0,52.0,0,0,0,0,0,0,1.0,52.0,1.0,52.0,-1,-1,1,8,0,0,0,0,7077625.0,0,7077625.0,7077625.0,
157.56.144.215-192.168.1.101-3544-59656-17,192.168.1.101,59656,157.56.144.215,3544,17,2014-08-08 01:02:25,0.0,0,1,0.0,60.0,0,0,0,0,60,60,60.0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,60,60,60.0,0.0,0.0,0,0,0,0,0,0,0,0,0,120.0,0,60.0,0,0,0,0,0,0,0.0,0.0,1.0,60.0,-1,-1,0,None,0,0,0,0,0,0,0,0,
173.194.66.84-192.168.1.101-443-56652-6,192.168.1.101,56652,173.194.66.84,443,6,2014-08-08 01:02:25,0.0,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,-1,0,0,None,0,0,0,0,0,0,0,0,
90.84.59.91-192.168.1.101-80-56593-6,192.168.1.101,56593,90.84.59.91,80,6,2014-08-08 01:02:25,599818.0,1,2,0.0,1401.0,0,0,0.0,0,1400,1,700.5,989.24238687998,2335.7084982444676,5.001517126861815,299909.0,123790.35575520413,387442.0,212376.0,0,0,0,0,0,387442.0,387442.0,0,387442.0,387442.0,0,0,0,0,20,40,1.667172375620605,1.667172375620605,0,1400,350.5,699.6668254724292,489533.6666666667,0,0,0,0,1,0,0,0,1.0,467.3333333333333,0.0,700.5,0,0,0,0,0,0,1.0,0.0,2.0,1401.0,-1,15544,0,20,0,0,0,0,0,0,0,0,
173.194.35.32-192.168.1.101-443-56343-6,192.168.1.101,56343,173.194.35.32,443,6,2014-08-08 01:02:26,264763.0,0,2,0.0,1.0,0,0,0,0,1,0,0.5,0.7071067811865476,3.7769627931395244,7.553925586279049,264763.0,0,264763.0,264763.0,0,0,0,0,0,264763.0,264763.0,0,264763.0,264763.0,0,0,0,0,0,52,0.0,0.0,0,1,0.6666666666666666,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0,1.0,0,0.5,0,0,0,0,0,0,0.0,0.0,2.0,1.0,-1,65535,0,None,0,0,0,0,0,0,0,0,
90.84.136.32-192.168.1.101-80-56599-6,192.168.1.101,56599,90.84.136.32,80,6,2014-08-08 01:02:27,0.0,0,1,0.0,1.0,0,0,0,0,1,1,1.0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,1,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,2.0,0,1.0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,-1,64400,0,None,0,0,0,0,0,0,0,0,
173.194.35.44-192.168.1.101-443-56654-6,173.194.35.44,443,192.168.1.101,56654,6,2014-08-08 01:02:28,5.0,1,1,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,399999.99999999994,5.0,0,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,199999.99999999997,199999.99999999997,0,0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,-1,0,0,20,0,0,0,0,0,0,0,0,
70.78.196.95-192.168.1.101-34569-42559-17,192.168.1.101,42559,70.78.196.95,34569,17,2014-08-08 01:02:28,0.0,0,1,0.0,67.0,0,0,0,0,67,67,67.0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,67,67,67.0,0.0,0.0,0,0,0,0,0,0,0,0,0,134.0,0,67.0,0,0,0,0,0,0,0.0,0.0,1.0,67.0,-1,-1,0,None,0,0,0,0,0,0,0,0,
173.194.35.58-192.168.1.101-80-56588-6,192.168.1.101,56588,173.194.35.58,80,6,2014-08-08 01:02:29,0.0,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,-1,0,0,None,0,0,0,0,0,0,0,0,
90.84.59.130-192.168.1.101-443-56669-6,192.168.1.101,56669,90.84.59.130,443,6,2014-08-08 01:02:30,451892.0,0,2,0.0,1.0,0,0,0,0,1,0,0.5,0.7071067811865476,2.21291813088083,4.42583626176166,451892.0,0,451892.0,451892.0,0,0,0,0,0,451892.0,451892.0,0,451892.0,451892.0,0,0,0,0,0,52,0.0,0.0,0,1,0.6666666666666666,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0,1.0,0,0.5,0,0,0,0,0,0,0.0,0.0,2.0,1.0,-1,19832,0,None,0,0,0,0,0,0,0,0,
90.84.59.130-192.168.1.101-443-56670-6,192.168.1.101,56670,90.84.59.130,443,6,2014-08-08 01:02:30,251624.0,0,2,0.0,1.0,0,0,0,0,1,0,0.5,0.7071067811865476,3.974183702667472,7.948367405334944,251624.0,0,251624.0,251624.0,0,0,0,0,0,251624.0,251624.0,0,251624.0,251624.0,0,0,0,0,0,52,0.0,0.0,0,1,0.6666666666666666,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,0,1.0,0,0.5,0,0,0,0,0,0,0.0,0.0,2.0,1.0,-1,17688,0,None,0,0,0,0,0,0,0,0,
